order,charity,appliances_furniture,present,sports,personal_care,food,hardware,books,other
1,747,,,,,,,,373
2,99,,,,,,,,
3,,509,,,,,,,
4,49,,,,,,,,
5,95,479,,,,,,,303
6,,,4198,,,,,,
7,575,,,177,,,,,
8,85,315,,,,,,,
9,96,,,84,337,,,,
10,,441,,,,,,,
11,,279,,,,,,,
12,,921,,,,,,,
13,,2786,,,,,,,
14,,836,,,,,,,498
15,,,,,7890,,,,
16,1455,,,,759,,,,
17,2600,2760,,,,,,,
18,47,,1870,,,,,,
19,,,76,,,,,,
20,88,,,,,,,,
21,,,8000,,,,,,
22,,,55,2023,,,,,
23,,,,852,,,,,
24,,,10803,,,,,,
25,,1458,,1445,,,,,
26,,,,630,,,,,
27,,,,1134,147,305,,,
28,,,,246,,,,,
29,,,,3800,,,,,
30,,,,957,,,,,
31,,,,273,,,,,
32,,,,1789,,,,,
33,,3100,,,,,,,
34,,,,,,,2700,,
35,,,,918,,,,,
36,,,,,359,,,,
37,,,,,,,,990,
38,,7890,,,,,,,
39,,959,,,,,,,
40,,,5000,,,,,,
41,,,1500,,,,,,
42,,,,1780,,,,,
43,,,,1246,,,,,105
44,,,,162,134,230,,538,
45,,,,,449,,,,
46,,,,,,,450,,165
47,,,,660,,508,,713,
48,,373,,859,,244,,,102
