order,charity,appliances_furniture,present,sports,personal_care,food,hardware,books,other,date
1,1384,,,,,,,,2245,05.01.2016
2,1531,,,,,,,,,16.01.2016
3,,802,,,,,,,,30.01.2016
4,249,,,,,,,,,08.02.2016
5,260,479,,,,,,,919,25.02.2016
6,,,4198,,,,,,,16.03.2016
7,1399,,,177,,,,,,31.03.2016
8,911,315,,,,,,,,05.05.2016
9,734,,,1240,472,,,,,27.05.2016
10,,4573,,,,,,,,08.06.2016
11,,279,,,,,,,,31.07.2016
12,,3120,,,,,,,,21.08.2016
13,,4462,,,,,,,,17.09.2016
14,,4800,,,,,,,498,04.11.2016
15,,,,,7890,,,,,08.11.2016
16,2545,,,,1243,,,,,08.11.2016
17,3044,2760,,,,,,,,05.12.2016
18,1931,,2208,,,,,,,10.12.2016
19,,,2263,,,,,,,16.12.2016
20,5639,,,,,,,,,20.12.2016
21,,,8000,,,,,,,25.12.2016
22,,,1194,2023,,,,,,26.01.2017
23,,,,4172,,,,,,13.02.2017
24,,,10803,,,,,,,06.03.2017
25,,1458,,4545,,,,,,09.03.2017
26,,,,2060,,,,,,10.03.2017
27,,,,3129,147,305,,,,19.03.2017
28,,,,5569,,,,,,08.04.2017
29,,,,3800,,,,,,18.03.2017
30,,,,4630,,,,,,23.04.2017
31,,,,1998,,,,,,27.04.2017
32,,,,3246,,,,,,13.05.2017
33,,3100,,,,,,,,14.05.2017
34,,,,,,,4229,,,21.05.2017
35,,,,1377,,,,,,21.05.2017
36,,,,,858,,,,,21.05.2017
37,,,,,,,,1699,,26.05.2017
38,,7890,,,,,,,,27.05.2017
39,,3566,,,,,,,,27.05.2017
40,,,5000,,,,,,,27.05.2017
41,,,1500,,,,,,,10.06.2017
42,,,,7187,,,,,,22.06.2017
43,,,,4010,,,,,105,13.07.2017
44,,,,5941,134,690,,836,,13.07.2017
45,,,,,2112,,,,,14.07.2017
46,,,,,,,894,,1205,21.07.2017
47,,,,1614,,890,,1106,,01.09.2017
